time	sigma	t_upRNAPelong
25.0	-0.02667	0
25.04	-0.02667	0
25.080000000000002	-0.02667	0
25.12	-0.02667	0
25.16	-0.02667	0
25.2	-0.02667	0
25.240000000000002	-0.02667	0
25.28	-0.02667	0
25.32	-0.02667	0
25.36	-0.02667	0
25.400000000000002	-0.02667	0
25.44	-0.02667	0
25.48	-0.02667	0
25.52	-0.02667	0
25.560000000000002	-0.02667	0
25.6	-0.02667	0
25.64	-0.02667	0
25.68	-0.02667	0
25.72	-0.02667	0
25.76	-0.02667	0
25.8	-0.02667	0
25.84	-0.02667	0
25.88	-0.02667	0
25.92	-0.02667	0
25.96	-0.02667	0
26.0	-0.02667	0
26.04	-0.02667	0
26.080000000000002	-0.02667	0
26.12	-0.02667	0
26.16	-0.02667	0
26.2	-0.02667	0
26.240000000000002	-0.02701	0
26.28	-0.02701	0
26.32	-0.02701	0
26.36	-0.02701	0
26.400000000000002	-0.02701	0
26.44	-0.02701	0
26.48	-0.02701	0
26.52	-0.02735	0
26.560000000000002	-0.02735	0
26.6	-0.02735	0
26.64	-0.02735	0
26.68	-0.02735	0
26.72	-0.02735	0
26.76	-0.02735	0
26.8	-0.02735	0
26.84	-0.02735	0
26.88	-0.02735	0
26.92	-0.02735	0
26.96	-0.02735	0
27.0	-0.02735	0
27.04	-0.02735	0
27.080000000000002	-0.02735	0
27.12	-0.02769	0
27.16	-0.02769	0
27.2	-0.02804	0
27.240000000000002	-0.02804	0
27.28	-0.02804	0
27.32	-0.02804	0
27.36	-0.02838	0
27.400000000000002	-0.02838	0
27.44	-0.02838	0
27.48	-0.02838	0
27.52	-0.02838	0
27.560000000000002	-0.02872	0
27.6	-0.02872	0
27.64	-0.02872	0
27.68	-0.02872	0
27.72	-0.02872	0
27.76	-0.02872	0
27.8	-0.02872	0
27.84	-0.02872	0
27.88	-0.02872	0
27.92	-0.02872	0
27.96	-0.02872	0
28.0	-0.02872	0
28.04	-0.02872	0
28.080000000000002	-0.02872	0
28.12	-0.02872	0
28.16	-0.02872	0
28.2	-0.02872	0
28.240000000000002	-0.02872	0
28.28	-0.02872	0
28.32	-0.02872	0
28.36	-0.02872	0
28.400000000000002	-0.02872	0
28.44	-0.02872	0
28.48	-0.02872	0
28.52	-0.02872	0
28.560000000000002	-0.02872	0
28.6	-0.02872	0
28.64	-0.02872	0
28.68	-0.02906	0
28.72	-0.02906	0
28.76	-0.02906	0
28.8	-0.02906	0
28.84	-0.02906	0
28.88	-0.02906	0
28.92	-0.02906	0
28.96	-0.02906	0
29.0	-0.02906	0
29.04	-0.02906	0
29.080000000000002	-0.02906	0
29.12	-0.02906	0
29.16	-0.02906	0
29.2	-0.02906	0
29.240000000000002	-0.02906	0
29.28	-0.02906	0
29.32	-0.02906	0
29.36	-0.02940	0
29.400000000000002	-0.02940	0
29.44	-0.02940	0
29.48	-0.02940	0
29.52	-0.02940	0
29.560000000000002	-0.02975	0
29.6	-0.02975	0
29.64	-0.02975	0
29.68	-0.02975	0
29.72	-0.02975	0
29.76	-0.02975	0
29.8	-0.03009	0
29.84	-0.03009	0
29.88	-0.03009	0
29.92	-0.03009	0
29.96	-0.03009	0
30.0	-0.03009	0
30.04	-0.03009	0
30.080000000000002	-0.03009	0
30.12	-0.03009	0
30.16	-0.03009	0
30.2	-0.03009	0
30.240000000000002	-0.03009	0
30.28	-0.03009	0
30.32	-0.03009	0
30.36	-0.03009	0
30.400000000000002	-0.03009	0
30.44	-0.03009	0
30.48	-0.03009	0
30.52	-0.03009	0
30.560000000000002	-0.03043	0
30.6	-0.03077	0
30.64	-0.03077	0
30.68	-0.03077	0
30.72	-0.03077	0
30.76	-0.03111	0
30.8	-0.03111	0
30.84	-0.03111	0
30.88	-0.03111	0
30.92	-0.03111	0
30.96	-0.03111	0
31.0	-0.03111	0
31.04	-0.03111	0
31.080000000000002	-0.03111	0
31.12	-0.03111	0
31.16	-0.03111	0
31.2	-0.03111	0
31.240000000000002	-0.03111	0
31.28	-0.03111	0
31.32	-0.03146	0
31.36	-0.03146	0
31.400000000000002	-0.03146	0
31.44	-0.03146	0
31.48	-0.03146	0
31.52	-0.03146	0
31.560000000000002	-0.03146	0
31.6	-0.03146	0
31.64	-0.03146	0
31.68	-0.03146	0
31.720000000000002	-0.03146	0
31.76	-0.03146	0
31.8	-0.03146	0
31.84	-0.03146	0
31.88	-0.03146	0
31.92	-0.03146	0
31.96	-0.03146	0
32.0	-0.03146	0
32.04	-0.03146	0
32.08	-0.03146	0
32.12	-0.03146	0
32.160000000000004	-0.03146	0
32.2	-0.03146	0
32.24	-0.03146	0
32.28	-0.03146	0
32.32	-0.03146	0
32.36	-0.03146	0
32.4	-0.03146	0
32.44	-0.03180	0
32.480000000000004	-0.03214	0
32.52	-0.03214	0
32.56	-0.03214	0
32.6	-0.03214	0
32.64	-0.03214	0
32.68	-0.03214	0
32.72	-0.03214	0
32.76	-0.03214	0
32.8	-0.03214	0
32.84	-0.03214	0
32.88	-0.03214	0
32.92	-0.03214	0
32.96	-0.03214	0
33.0	-0.03214	0
33.04	-0.03214	0
33.08	-0.03214	0
33.12	-0.03248	0
33.160000000000004	-0.03282	0
33.2	-0.03282	0
33.24	-0.03282	0
33.28	-0.03282	0
33.32	-0.03282	0
33.36	-0.03282	0
33.4	-0.03282	0
33.44	-0.03317	0
33.480000000000004	-0.03317	0
33.52	-0.03317	0
33.56	-0.03317	0
33.6	-0.03317	0
33.64	-0.03317	0
33.68	-0.03317	0
33.72	-0.03317	0
33.76	-0.03317	0
33.8	-0.03317	0
33.84	-0.03317	0
33.88	-0.03317	0
33.92	-0.03317	0
33.96	-0.03351	0
34.0	-0.03351	0
34.04	-0.03351	0
34.08	-0.03351	0
34.12	-0.03385	0
34.160000000000004	-0.03385	0
34.2	-0.03385	0
34.24	-0.03385	0
34.28	-0.03385	0
34.32	-0.03385	0
34.36	-0.03385	0
34.4	-0.03385	0
34.44	-0.03385	0
34.480000000000004	-0.03385	0
34.52	-0.03385	0
34.56	-0.03385	0
34.6	-0.03385	0
34.64	-0.03385	0
34.68	-0.03385	0
34.72	-0.03385	0
34.76	-0.03419	0
34.800000000000004	-0.03419	0
34.84	-0.03419	0
34.88	-0.03419	0
34.92	-0.03419	0
34.96	-0.03419	0
35.0	-0.03419	0
35.04	-0.03419	0
35.08	-0.03419	0
35.12	-0.03419	0
35.160000000000004	-0.03419	0
35.2	-0.03419	0
35.24	-0.03419	0
35.28	-0.03419	0
35.32	-0.03453	0
35.36	-0.03453	0
35.4	-0.03453	0
35.44	-0.03487	0
35.480000000000004	-0.03487	0
35.52	-0.03487	0
35.56	-0.03522	0
35.6	-0.03522	0
35.64	-0.03522	0
35.68	-0.03522	0
35.72	-0.03522	0
35.76	-0.03522	0
35.800000000000004	-0.03522	0
35.84	-0.03522	0
35.88	-0.03522	0
35.92	-0.03522	0
35.96	-0.03522	0
36.0	-0.03522	0
36.04	-0.03522	0
36.08	-0.03522	0
36.12	-0.03522	0
36.160000000000004	-0.03522	0
36.2	-0.03522	0
36.24	-0.03556	0
36.28	-0.03556	0
36.32	-0.03556	0
36.36	-0.03556	0
36.4	-0.03556	0
36.44	-0.03590	0
36.480000000000004	-0.03590	0
36.52	-0.03590	0
36.56	-0.03658	0
36.6	-0.03693	0
36.64	-0.03693	0
36.68	-0.03693	0
36.72	-0.03693	0
36.76	-0.03693	0
36.800000000000004	-0.03693	0
36.84	-0.03693	0
36.88	-0.03727	0
36.92	-0.03727	0
36.96	-0.03727	0
37.0	-0.03727	0
37.04	-0.03727	0
37.08	-0.03727	0
37.12	-0.03727	0
37.160000000000004	-0.03727	0
37.2	-0.03727	0
37.24	-0.03727	0
37.28	-0.03727	0
37.32	-0.03727	0
37.36	-0.03727	0
37.4	-0.03727	0
37.44	-0.03727	0
37.480000000000004	-0.03727	0
37.52	-0.03727	0
37.56	-0.03761	0
37.6	-0.03795	0
37.64	-0.03795	0
37.68	-0.03795	0
37.72	-0.03795	0
37.76	-0.03795	0
37.800000000000004	-0.03795	0
37.84	-0.03795	0
37.88	-0.03795	0
37.92	-0.03795	0
37.96	-0.03795	0
38.0	-0.03795	0
38.04	-0.03795	0
38.08	-0.03829	0
38.12	-0.03829	0
38.160000000000004	-0.03829	0
38.2	-0.03829	0
38.24	-0.03829	0
38.28	-0.03829	0
38.32	-0.03829	0
38.36	-0.03829	0
38.4	-0.03829	0
38.44	-0.03829	0
38.480000000000004	-0.03829	0
38.52	-0.03829	0
38.56	-0.03829	0
38.6	-0.03829	0
38.64	-0.03864	0
38.68	-0.03864	0
38.72	-0.03864	0
38.76	-0.03864	0
38.800000000000004	-0.03864	0
38.84	-0.03864	0
38.88	-0.03864	0
38.92	-0.03864	0
38.96	-0.03864	0
39.0	-0.03864	0
39.04	-0.03864	0
39.08	-0.03864	0
39.12	-0.03864	0
39.160000000000004	-0.03864	0
39.2	-0.03898	0
39.24	-0.03898	0
39.28	-0.03898	0
39.32	-0.03898	0
39.36	-0.03898	0
39.4	-0.03898	0
39.44	-0.03898	0
39.480000000000004	-0.03898	0
39.52	-0.03932	0
39.56	-0.03932	0
39.6	-0.03932	0
39.64	-0.03932	0
39.68	-0.03932	0
39.72	-0.03932	0
39.76	-0.03932	0
39.800000000000004	-0.03966	0
39.84	-0.03966	0
39.88	-0.04000	0
39.92	-0.04000	0
39.96	-0.04000	0
40.0	-0.04000	0
40.04	-0.04000	0
40.08	-0.04000	0
40.12	-0.04000	0
40.160000000000004	-0.04000	0
40.2	-0.04000	0
40.24	-0.04035	0
40.28	-0.04035	0
40.32	-0.04035	0
40.36	-0.04035	0
40.4	-0.04035	0
40.44	-0.04035	0
40.480000000000004	-0.04035	0
40.52	-0.04035	0
40.56	-0.04035	0
40.6	-0.04035	0
